case_id,phase,role_code,headcount,allocation_percentage,phase_start_month,phase_end_month,training_headcount,role_phase_training_max_skill_gap
mfg-dwh-supply-chain,discovery,ROLE-CON-02,1,30,1,3,1,3
mfg-dwh-supply-chain,build,ROLE-ENG-01,1,38,2,6,0,0
mfg-analytics-quality,discovery,ROLE-CON-01,1,30,1,2,1,3
mfg-analytics-quality,build,ROLE-ENG-02,2,38,1,4,0,0
mfg-analytics-quality,discovery,ROLE-CON-02,1,30,1,2,1,3
mfg-analytics-quality,discovery,ROLE-PMO-02,1,30,1,2,1,4
mfg-analytics-quality,build,ROLE-ENG-01,1,38,1,4,0,0
mfg-analytics-quality,discovery,ROLE-PMO-02,1,30,1,2,0,0
retail-crm-loyalty,discovery,ROLE-PMO-02,1,30,1,2,0,0
retail-crm-loyalty,discovery,ROLE-CON-02,1,30,1,2,1,6
retail-crm-loyalty,discovery,ROLE-CON-02,1,30,1,2,1,3
retail-crm-loyalty,build,ROLE-ENG-01,2,38,2,5,0,0
retail-crm-loyalty,build,ROLE-ENG-01,2,38,2,5,0,0
retail-crm-loyalty,discovery,ROLE-CON-01,1,30,1,2,1,3
retail-crm-loyalty,build,ROLE-ENG-01,1,38,2,5,0,0
retail-analytics-personalization,discovery,ROLE-CON-01,1,30,1,3,1,3
retail-analytics-personalization,build,ROLE-ENG-02,2,38,2,6,0,0
retail-analytics-personalization,build,ROLE-ENG-01,1,38,2,6,0,0
retail-analytics-personalization,transition,ROLE-CON-02,1,30,5,7,0,0
retail-analytics-personalization,discovery,ROLE-PMO-02,1,30,1,3,0,0
retail-analytics-personalization,build,ROLE-ENG-01,2,38,2,6,0,0
retail-cloud-ecommerce,build,ROLE-ENG-03,2,38,2,7,0,0
retail-cloud-ecommerce,build,ROLE-ENG-01,2,38,2,7,0,0
retail-cloud-ecommerce,build,ROLE-ENG-01,2,38,2,7,0,0
retail-cloud-ecommerce,build,ROLE-ENG-03,1,38,2,7,0,0
retail-cloud-ecommerce,discovery,ROLE-PMO-02,1,30,1,3,0,0
retail-cloud-ecommerce,build,ROLE-ENG-01,1,38,2,7,0,0
retail-erp-store,discovery,ROLE-CON-02,1,30,1,1,1,3
retail-erp-store,transition,ROLE-CON-02,1,30,3,3,0,0
retail-erp-store,build,ROLE-ENG-01,2,38,1,3,0,0
retail-erp-store,discovery,ROLE-PMO-02,1,30,1,1,0,0
retail-erp-store,discovery,ROLE-PMO-02,1,30,1,1,0,0
retail-erp-store,build,ROLE-ENG-01,1,38,1,3,0,0
healthcare-cloud-platform,build,ROLE-ENG-03,2,40,3,9,0,0
healthcare-cloud-platform,build,ROLE-ENG-03,2,40,3,9,0,0
healthcare-cloud-platform,build,ROLE-ENG-03,2,40,3,9,0,0
healthcare-cloud-platform,discovery,ROLE-PMO-03,1,30,1,4,0,0
healthcare-cloud-platform,discovery,ROLE-CON-01,1,30,1,4,1,3
healthcare-cloud-platform,build,ROLE-ENG-01,1,40,3,9,0,0
healthcare-dwh-research,discovery,ROLE-CON-01,1,30,1,3,1,3
healthcare-dwh-research,build,ROLE-ENG-02,2,38,2,7,0,0
healthcare-dwh-research,build,ROLE-ENG-02,1,38,2,7,0,0
healthcare-dwh-research,build,ROLE-ENG-03,1,38,2,7,0,0
healthcare-dwh-research,discovery,ROLE-PMO-02,1,30,1,3,0,0
healthcare-dwh-research,build,ROLE-ENG-01,2,38,2,7,0,0
healthcare-crm-patient,discovery,ROLE-CON-02,1,30,1,2,1,3
healthcare-crm-patient,transition,ROLE-CON-02,1,30,5,6,0,0
healthcare-crm-patient,build,ROLE-ENG-01,2,38,2,5,0,0
healthcare-crm-patient,build,ROLE-ENG-01,2,38,2,5,0,0
healthcare-crm-patient,build,ROLE-ENG-03,1,38,2,5,0,0
healthcare-crm-patient,discovery,ROLE-PMO-02,1,30,1,2,0,0
healthcare-crm-patient,build,ROLE-ENG-01,1,38,2,5,0,0
healthcare-analytics-ops,discovery,ROLE-CON-01,1,30,1,3,1,3
healthcare-analytics-ops,discovery,ROLE-CON-02,1,30,1,3,1,3
healthcare-analytics-ops,build,ROLE-ENG-02,2,38,2,6,0,0
healthcare-analytics-ops,build,ROLE-ENG-03,1,38,2,6,0,0
healthcare-analytics-ops,discovery,ROLE-PMO-02,1,30,1,3,0,0
healthcare-analytics-ops,build,ROLE-ENG-01,2,38,2,6,0,0
public-cloud-migration,transition,ROLE-PMO-03,1,30,9,12,0,0
public-cloud-migration,build,ROLE-ENG-03,2,40,3,10,0,0
public-cloud-migration,build,ROLE-ENG-03,2,40,3,10,0,0
public-cloud-migration,build,ROLE-ENG-03,2,40,3,10,0,0
public-cloud-migration,transition,ROLE-CON-03,1,30,9,12,0,0
public-cloud-migration,build,ROLE-ENG-01,2,40,3,10,0,0
public-erp-modernization,discovery,ROLE-PMO-03,1,30,1,3,0,0
public-erp-modernization,discovery,ROLE-CON-02,2,30,1,3,1,3
public-erp-modernization,transition,ROLE-CON-02,1,30,8,10,0,0
public-erp-modernization,build,ROLE-ENG-01,2,40,3,8,0,0
public-erp-modernization,discovery,ROLE-PMO-02,1,30,1,3,0,0
public-erp-modernization,transition,ROLE-PMO-03,1,30,8,10,0,0
public-erp-modernization,build,ROLE-ENG-01,1,40,3,8,0,0
public-dwh-open-data,discovery,ROLE-CON-01,1,30,1,3,1,3
public-dwh-open-data,build,ROLE-ENG-02,2,38,2,6,0,0
public-dwh-open-data,build,ROLE-ENG-02,2,38,2,6,0,0
public-dwh-open-data,transition,ROLE-CON-02,1,30,5,7,0,0
public-dwh-open-data,discovery,ROLE-PMO-02,1,30,1,3,0,0
public-dwh-open-data,build,ROLE-ENG-01,2,38,2,6,0,0
public-crm-citizen,discovery,ROLE-CON-02,1,30,1,3,1,3
public-crm-citizen,transition,ROLE-CON-02,1,30,6,8,0,0
public-crm-citizen,build,ROLE-ENG-01,2,38,2,7,0,0
public-crm-citizen,build,ROLE-ENG-01,2,38,2,7,0,0
public-crm-citizen,transition,ROLE-PMO-03,1,30,6,8,0,0
public-crm-citizen,build,ROLE-ENG-01,2,38,2,7,0,0
fin-dwh-compliance,governance,ROLE-PMO-01,1,30,1,11,1,4
fin-dwh-compliance,governance,ROLE-PMO-02,1,25,1,11,1,4
fin-dwh-compliance,operate,ROLE-PMO-04,1,25,9,11,1,6
fin-cloud-security,operate,ROLE-PMO-04,1,30,6,8,1,6
fin-cloud-security,operate,ROLE-PMO-04,1,25,6,8,1,6
fin-cloud-security,operate,ROLE-PMO-04,1,25,6,8,1,8
fin-crm-wealth,rollout,ROLE-CON-03,1,30,5,6,1,6
fin-crm-wealth,rollout,ROLE-CON-03,1,25,5,6,1,6
fin-crm-wealth,rollout,ROLE-PMO-01,1,25,4,6,1,8
fin-analytics-risk,governance,ROLE-CON-03,1,25,1,7,0,0
fin-analytics-risk,governance,ROLE-CON-03,1,20,5,7,0,0
mfg-erp-core,governance,ROLE-PMO-01,1,30,1,12,1,4
mfg-erp-core,governance,ROLE-PMO-02,1,25,1,12,1,4
mfg-erp-core,governance,ROLE-PMO-02,1,25,1,12,1,4
mfg-erp-core,rollout,ROLE-PMO-01,1,30,8,12,1,8
mfg-cloud-factory,build,ROLE-ENG-01,1,35,2,6,0,0
mfg-cloud-factory,operate,ROLE-PMO-04,1,25,5,6,1,6
mfg-cloud-factory,operate,ROLE-PMO-04,1,25,5,6,1,6
mfg-dwh-supply-chain,build,ROLE-ENG-04,1,35,3,7,0,0
mfg-dwh-supply-chain,operate,ROLE-PMO-04,1,25,6,7,1,6
mfg-analytics-quality,governance,ROLE-PMO-01,1,25,1,4,1,4
retail-crm-loyalty,rollout,ROLE-CON-03,1,30,5,6,1,6
retail-crm-loyalty,rollout,ROLE-CON-03,1,25,5,6,1,6
retail-analytics-personalization,governance,ROLE-CON-02,1,25,1,7,1,6
retail-cloud-ecommerce,build,ROLE-ENG-01,1,35,2,8,0,0
retail-cloud-ecommerce,operate,ROLE-PMO-04,1,30,6,8,1,6
retail-cloud-ecommerce,operate,ROLE-PMO-04,1,25,6,8,1,6
retail-cloud-ecommerce,operate,ROLE-PMO-04,1,25,6,8,1,8
retail-erp-store,rollout,ROLE-PMO-01,1,30,2,3,1,8
retail-erp-store,operate,ROLE-PMO-04,1,25,3,3,1,6
healthcare-cloud-platform,build,ROLE-ENG-01,1,35,3,9,0,0
healthcare-cloud-platform,operate,ROLE-PMO-04,1,30,8,11,1,6
healthcare-cloud-platform,operate,ROLE-PMO-04,1,25,8,11,1,6
healthcare-cloud-platform,operate,ROLE-PMO-04,1,25,8,11,1,8
healthcare-dwh-research,build,ROLE-ENG-04,1,35,3,8,0,0
healthcare-crm-patient,rollout,ROLE-CON-03,1,30,5,6,1,6
healthcare-crm-patient,operate,ROLE-PMO-04,1,25,6,6,1,8
healthcare-analytics-ops,operate,ROLE-PMO-04,1,30,5,7,1,6
healthcare-analytics-ops,operate,ROLE-PMO-04,1,25,5,7,1,6
public-cloud-migration,operate,ROLE-PMO-04,1,30,9,12,1,6
public-cloud-migration,operate,ROLE-PMO-04,1,25,9,12,1,6
public-cloud-migration,operate,ROLE-PMO-04,1,25,9,12,1,8
public-erp-modernization,governance,ROLE-PMO-01,1,30,1,10,1,4
public-erp-modernization,governance,ROLE-PMO-02,1,25,1,10,1,4
public-erp-modernization,rollout,ROLE-PMO-01,1,30,8,10,1,8
public-dwh-open-data,operate,ROLE-PMO-04,1,25,6,7,1,6
public-crm-citizen,operate,ROLE-PMO-04,1,25,7,8,1,8
public-crm-citizen,rollout,ROLE-CON-03,1,25,6,8,1,6
fin-crm-adoption,discovery,ROLE-CON-02,1,30,1,2,1,7
fin-crm-adoption,discovery,ROLE-CON-02,1,25,1,2,0,0
fin-crm-adoption,rollout,ROLE-CON-03,2,30,2,6,1,7
fin-crm-adoption,rollout,ROLE-CON-03,1,30,4,6,1,7
fin-crm-adoption,rollout,ROLE-CON-02,1,30,2,5,1,7
fin-crm-adoption,governance,ROLE-CON-02,1,25,1,6,1,7
fin-crm-adoption,governance,ROLE-PMO-01,1,25,1,6,1,8
mfg-partner-enablement,discovery,ROLE-CON-02,1,30,1,3,1,7
mfg-partner-enablement,discovery,ROLE-CON-02,1,30,1,4,0,0
mfg-partner-enablement,rollout,ROLE-CON-02,1,30,2,6,1,8
mfg-partner-enablement,rollout,ROLE-CON-02,1,30,2,7,1,7
mfg-partner-enablement,governance,ROLE-CON-02,1,25,1,7,1,7
mfg-partner-enablement,governance,ROLE-PMO-02,1,25,1,7,1,6
retail-customer-success,discovery,ROLE-CON-02,1,30,1,2,0,0
retail-customer-success,rollout,ROLE-CON-03,2,30,2,6,1,7
retail-customer-success,rollout,ROLE-CON-03,1,30,4,6,1,7
retail-customer-success,rollout,ROLE-CON-02,1,30,2,5,1,7
retail-customer-success,governance,ROLE-CON-02,1,25,1,6,1,7
retail-customer-success,governance,ROLE-PMO-01,1,25,1,6,1,8
healthcare-service-operations,discovery,ROLE-PMO-02,1,25,1,2,1,6
healthcare-service-operations,operate,ROLE-PMO-04,2,30,2,8,1,8
healthcare-service-operations,operate,ROLE-PMO-04,1,30,2,8,1,7
healthcare-service-operations,operate,ROLE-PMO-04,1,25,3,8,1,7
healthcare-service-operations,operate,ROLE-PMO-04,1,30,2,8,1,7
healthcare-service-operations,operate,ROLE-PMO-04,1,30,2,8,1,8
healthcare-service-operations,operate,ROLE-PMO-04,1,25,4,8,1,7
public-account-growth,discovery,ROLE-CON-02,1,30,1,3,0,0
public-account-growth,discovery,ROLE-CON-02,1,30,1,3,0,0
public-account-growth,governance,ROLE-CON-04,1,25,1,6,0,0
public-account-growth,rollout,ROLE-CON-02,1,30,2,6,1,6
public-account-growth,rollout,ROLE-CON-03,1,25,3,6,1,6
public-account-growth,rollout,ROLE-CON-03,1,25,4,6,1,6
public-account-growth,governance,ROLE-CON-02,1,25,1,6,1,6
fin-dwh-compliance,build,ROLE-ENG-01,1,35,4,9,1,5
fin-dwh-compliance,build,ROLE-ENG-01,1,35,4,9,1,6
fin-dwh-compliance,discovery,ROLE-CON-01,1,25,2,5,1,5
fin-cloud-security,build,ROLE-ENG-01,1,35,3,8,1,4
fin-cloud-security,build,ROLE-ENG-01,1,35,3,8,1,5
fin-crm-wealth,build,ROLE-ENG-01,1,35,3,6,1,5
fin-crm-wealth,build,ROLE-ENG-01,1,35,3,6,1,5
fin-crm-wealth,rollout,ROLE-CON-01,1,25,4,6,1,5
fin-analytics-risk,build,ROLE-ENG-02,1,35,3,7,1,6
fin-analytics-risk,discovery,ROLE-CON-02,1,25,1,4,1,5
mfg-erp-core,build,ROLE-ENG-01,1,35,4,11,1,5
mfg-erp-core,rollout,ROLE-CON-02,1,25,8,12,1,5
mfg-cloud-factory,build,ROLE-ENG-01,1,35,3,6,1,5
mfg-cloud-factory,build,ROLE-ENG-01,1,35,3,6,1,6
mfg-dwh-supply-chain,build,ROLE-ENG-02,1,35,3,7,1,6
mfg-dwh-supply-chain,build,ROLE-ENG-01,1,35,3,7,1,6
mfg-dwh-supply-chain,discovery,ROLE-CON-01,1,25,1,4,1,5
mfg-analytics-quality,build,ROLE-ENG-02,1,35,2,4,1,6
mfg-analytics-quality,build,ROLE-ENG-01,1,35,2,4,1,6
mfg-analytics-quality,discovery,ROLE-CON-02,1,25,1,2,1,5
retail-crm-loyalty,build,ROLE-ENG-01,1,35,3,6,1,5
retail-crm-loyalty,build,ROLE-ENG-01,1,35,3,6,1,5
retail-crm-loyalty,rollout,ROLE-CON-01,1,25,4,6,1,5
retail-analytics-personalization,build,ROLE-ENG-02,1,35,3,7,1,6
retail-analytics-personalization,build,ROLE-ENG-01,1,35,3,7,1,6
retail-analytics-personalization,discovery,ROLE-CON-01,1,25,1,4,1,5
retail-cloud-ecommerce,build,ROLE-ENG-01,1,35,3,8,1,5
retail-cloud-ecommerce,build,ROLE-ENG-01,1,35,3,8,1,5
retail-cloud-ecommerce,build,ROLE-ENG-01,1,35,3,8,1,6
retail-erp-store,build,ROLE-ENG-01,1,35,2,3,1,5
retail-erp-store,rollout,ROLE-CON-02,1,25,2,3,1,5
healthcare-cloud-platform,build,ROLE-ENG-01,1,35,4,10,1,5
healthcare-cloud-platform,build,ROLE-ENG-01,1,35,4,10,1,6
healthcare-dwh-research,build,ROLE-ENG-02,1,35,3,8,1,6
healthcare-dwh-research,build,ROLE-ENG-01,1,35,3,8,1,6
healthcare-dwh-research,discovery,ROLE-CON-01,1,25,1,4,1,5
healthcare-crm-patient,build,ROLE-ENG-01,1,35,3,6,1,5
healthcare-crm-patient,build,ROLE-ENG-01,1,35,3,6,1,5
healthcare-crm-patient,rollout,ROLE-CON-01,1,25,4,6,1,5
healthcare-analytics-ops,build,ROLE-ENG-02,1,35,3,7,1,6
healthcare-analytics-ops,discovery,ROLE-CON-02,1,25,1,4,1,5
public-cloud-migration,build,ROLE-ENG-01,1,35,4,12,1,4
public-cloud-migration,build,ROLE-ENG-01,1,35,4,12,1,5
public-erp-modernization,build,ROLE-ENG-01,1,35,4,10,1,4
public-erp-modernization,rollout,ROLE-CON-02,1,25,8,10,1,4
public-dwh-open-data,build,ROLE-ENG-02,1,35,3,7,1,5
public-dwh-open-data,build,ROLE-ENG-01,1,35,3,7,1,5
public-crm-citizen,build,ROLE-ENG-01,1,35,3,8,1,4
public-crm-citizen,build,ROLE-ENG-01,1,35,3,8,1,4
public-crm-citizen,rollout,ROLE-CON-02,1,25,6,8,1,4
fin-sales-enablement-pod,discovery,ROLE-CON-02,1,30,1,2,1,6
fin-sales-enablement-pod,discovery,ROLE-CON-02,2,30,1,5,1,8
fin-sales-enablement-pod,rollout,ROLE-CON-02,1,30,2,5,1,7
fin-sales-enablement-pod,governance,ROLE-CON-02,1,25,1,5,1,7
fin-sales-enablement-pod,governance,ROLE-PMO-01,1,25,1,5,1,6
mfg-test-migration-factory,build,ROLE-ENG-02,2,35,1,6,1,7
mfg-test-migration-factory,build,ROLE-ENG-01,2,35,1,6,1,8
mfg-test-migration-factory,build,ROLE-ENG-01,1,35,2,6,1,7
mfg-test-migration-factory,discovery,ROLE-CON-01,1,25,1,3,1,6
mfg-test-migration-factory,governance,ROLE-PMO-01,1,25,1,6,1,6
retail-digital-delivery-pod,build,ROLE-ENG-01,2,35,1,6,1,7
retail-digital-delivery-pod,build,ROLE-ENG-01,2,35,1,6,1,7
retail-digital-delivery-pod,build,ROLE-ENG-01,2,35,1,6,1,8
retail-digital-delivery-pod,build,ROLE-ENG-01,1,35,2,6,1,7
retail-digital-delivery-pod,rollout,ROLE-CON-01,1,25,4,6,1,6
healthcare-analyst-enablement,discovery,ROLE-CON-02,2,30,1,5,1,7
healthcare-analyst-enablement,discovery,ROLE-CON-01,1,30,1,5,1,6
healthcare-analyst-enablement,build,ROLE-ENG-02,1,35,2,5,1,7
healthcare-analyst-enablement,build,ROLE-ENG-01,1,35,2,5,1,8
healthcare-analyst-enablement,governance,ROLE-PMO-01,1,25,1,5,1,6
public-documentation-uat-pod,discovery,ROLE-CON-02,2,30,1,5,1,7
public-documentation-uat-pod,rollout,ROLE-CON-01,1,30,2,5,1,6
public-documentation-uat-pod,rollout,ROLE-CON-03,1,25,3,5,1,6
public-documentation-uat-pod,operate,ROLE-PMO-04,1,25,4,5,1,8
public-documentation-uat-pod,governance,ROLE-PMO-01,1,25,1,5,1,6
fin-crm-adoption,rollout,ROLE-CON-05,1,25,2,6,1,8
fin-crm-adoption,rollout,ROLE-PMO-04,1,25,4,6,1,8
fin-crm-wealth,discovery,ROLE-CON-05,1,25,1,4,1,8
fin-crm-wealth,build,ROLE-ENG-05,1,25,2,5,1,8
mfg-test-migration-factory,build,ROLE-ENG-05,1,25,1,6,1,8
mfg-test-migration-factory,governance,ROLE-PMO-04,1,25,3,6,1,8
retail-digital-delivery-pod,build,ROLE-ENG-05,1,25,1,6,1,8
retail-digital-delivery-pod,rollout,ROLE-CON-05,1,25,3,6,1,8
healthcare-analyst-enablement,discovery,ROLE-CON-05,1,25,1,5,1,8
healthcare-analyst-enablement,governance,ROLE-PMO-04,1,25,3,5,1,8
public-documentation-uat-pod,rollout,ROLE-CON-05,1,25,2,5,1,8
public-documentation-uat-pod,operate,ROLE-PMO-04,1,25,2,5,1,8
public-dwh-open-data,build,ROLE-ENG-05,1,25,3,7,1,8
public-crm-citizen,rollout,ROLE-CON-05,1,25,4,8,1,8
healthcare-service-operations,operate,ROLE-PMO-04,1,25,2,8,1,8
fin-dwh-compliance,discovery,ROLE-CON-05,1,20,1,4,1,8
fin-dwh-compliance,governance,ROLE-PMO-04,1,20,1,5,1,8
fin-cloud-security,discovery,ROLE-CON-05,1,20,1,3,1,8
fin-cloud-security,governance,ROLE-PMO-04,1,20,1,4,1,8
mfg-dwh-supply-chain,build,ROLE-ENG-05,1,20,1,5,1,8
mfg-dwh-supply-chain,governance,ROLE-PMO-04,1,20,1,5,1,8
retail-cloud-ecommerce,build,ROLE-ENG-05,1,20,1,5,1,8
retail-cloud-ecommerce,discovery,ROLE-CON-05,1,20,1,4,1,8
public-dwh-open-data,build,ROLE-ENG-05,1,20,1,5,1,8
public-dwh-open-data,discovery,ROLE-CON-05,1,20,1,4,1,8
